,UW-Madison
Acadia National Park,1396
Arches National Park,1301
Badlands National Park,701
Big Bend National Park,1444
Biscayne National Park,1560
Black Canyon of the Gunnison National Park,1202
Bryce Canyon National Park,1491
Canyonlands National Park,1313
Capitol Reef National Park,1379
Carlsbad Caverns National Park,1371
Congaree National Park,971
Crater Lake National Park,2032
Cuyahoga Valley National Park,494
Death Valley National Park,1815
Everglades National Park,1521
Gateway Arch National Park,359
Glacier National Park,1375
Grand Canyon National Park,1629
Grand Teton National Park,1278
Great Basin National Park,1570
Great Sand Dunes National Park,1114
Great Smoky Mountains National Park,725
Guadalupe Mountains National Park,1406
Hot Springs National Park,755
Indiana Dunes National Park,181
Joshua Tree National Park,1884
Kings Canyon National Park,2114
Lassen Volcanic National Park,1986
Mammoth Cave National Park,539
Mesa Verde National Park,1329
Mount Rainier National Park,1919
New River Gorge National Park,698
North Cascades National Park,1882
Olympic National Park,2015
Petrified Forest National Park,1484
Pinnacles National Park,2152
Redwood National Park,2178
Rocky Mountain National Park,984
Saguaro National Park,1667
Sequoia National Park,2077
Shenandoah National Park,814
Theodore Roosevelt National Park,826
Voyageurs National Park,472
White Sands National Park,1342
Wind Cave National Park,811
Yellowstone National Park,1210
Yosemite National Park,1894
Zion National Park,1587